ac_year,district_cd,District,Budget_district_seq,block_cd_1,Block_Name,MNC_SR,MNC_Desc,block_cd_2,vill_ward_cd,Village_Name,cluster_cd,Cluster_Name,udise_sch_code,school_name,address,pincode,Establishment,sch_loc_r_u,sch_category_id,School_category,sch_type,sch_mgmt_id,Mgt_desc,state_mgt_3,state_mgt_4,class_frm,class_to,medinstr1,medium_desc,medium_state,medinstr2,medinstr3,medinstr4,latitude,longitude,ppsec_yn,stdcode,mobile,stdcode_resp,phone_resp,mobile_resp,website,email,resp_name,cwsn_sch_yn,shift_sch_yn,resi_sch_type,resi_sch_type_Desc,minority_yn,minority_type,Minority_desc,anganwadi_yn,anganwadi_code,anganwadi_stu_b,anganwadi_stu_g,anganwadi_tch_trained,board_sec,Board_Desc_Sec,board_sec_no,board_sec_oth,board_hsec,Board_Hseco_Desc,board_hsec_no,board_hsec_oth,prevoc_yn,eduvoc_yn,cpp_b,cpp_g,cpp_t,c1_b,c1_g,c1_t,c2_b,c2_g,c2_t,c3_b,c3_g,c3_t,c4_b,c4_g,c4_t,c5_b,c5_g,c5_t,c6_b,c6_g,c6_t,c7_b,c7_g,c7_t,c8_b,c8_g,c8_t,c9_b,c9_g,c9_t,c10_b,c10_g,c10_t,c11_b,c11_g,c11_t,c12_b,c12_g,c12_t,c1to5b,c1to5g,c1to5t,c6to8b,c6to8g,c6to8t,c1to8b,c1to8g,c1to8t,c9to10b,c9to10g,c9to10t,c11to12b,c11to12g,c11to12t,c9to12b,c9to12g,c9to12t,c1to12b,c1to12g,c1to12t,Enr_range_school_grant
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715027,WARD NO 27,2707150088,CLUSTER8 Chaprashipura,27071502711,Z P MADHYMIK URDU KANYA SCH CA,CAMPNEAR Hotel MAFIL AMRAVATI,444602,1932,2,3,Higher Secondary with grades 1 to 12,3,16,Zilla Parishad,1_Govt,1_Govt,5,12,18,Urdu,04 Urdu,0,0,0,20.936193,77.769601,2,721,9511234182,721,2552443,9511234182,,zpurdu@gmail.com,Sayyed Razique Sayyed Gaffar,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,201048,,2,State Board,201023,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,7,11,18,6,12,18,14,30,44,28,52,80,13,55,68,27,22,49,9,40,49,4,5,9,27,53,80,31,58,89,41,107,148,36,62,98,77,169,246,108,227,335,251 to 1000
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715027,WARD NO 27,2707150088,CLUSTER8 Chaprashipura,27071502701,Z P MADHYMIK KANYA SCHOOL CAMP,  amravati dist amravati,444602,1912,2,6,Secondary with grades 1 to 10,2,16,Zilla Parishad,1_Govt,1_Govt,5,10,10,Marathi,01 Marathi,4,19,0,20.937637,77.771622,2,721,9405832685,721,2551662,9403228067,,zpgirlshighschoolamt@gmail.com,KISHOR INGALE,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,201054,,0,Null,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,82,82,0,87,87,0,108,108,0,147,147,0,152,152,0,0,0,0,0,0,0,44,44,0,277,277,0,321,321,0,299,299,0,0,0,0,299,299,0,620,620,251 to 1000
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715021,WARD NO 21,2707150082,CLUSTER2 Jamil Colony,27071502102,M N P URDU HIGH SCHOOL JAMIL C,jameel cplony amravati,444601,1987,2,7,Secondary with grades 6 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,8,10,18,Urdu,04 Urdu,10,4,19,20.925339,77.755732,9,,9096310178,721,2679379,9960222430,,sayeed250671@gmail.com,ABDUL SAYEED ABDUL LATEEF,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,02.01.090,,0,Null,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,55,92,47,62,109,40,56,96,0,0,0,0,0,0,0,0,0,37,55,92,37,55,92,87,118,205,0,0,0,87,118,205,124,173,297,251 to 1000
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715069,WARD NO 69,2707150087,CLUSTER7 Belpura,27071506907,M N P HINDI BOYS HIGH SCHOOL,"NEHRU MAIDAN,AMRAVATI",444601,1946,2,6,Secondary with grades 1 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,5,10,4,Hindi,03 Hindi,10,19,0,20.929215,77.754887,2,721,8308089994,721,566764,8308089994,,kamalaprasadkurmi@gmail.com,KAMALAPRASAD DURJAN KURMI,2,1,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,201046,,0,Null,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,7,0,7,24,0,24,20,0,20,0,0,0,0,0,0,0,0,0,19,0,19,19,0,19,44,0,44,0,0,0,44,0,44,63,0,63,31 to 100
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715049,WARD NO 49,2707150090,CLUSTER10 Gawalipura,27071504907,Z P VIDYOCHIT MADHYMIK SCHOOL,GAULI PURA RAMKRUSHNA BEAT  AMRAVATI,444601,1876,2,7,Secondary with grades 6 to 10,3,16,Zilla Parishad,1_Govt,1_Govt,7,10,10,Marathi,01 Marathi,18,0,0,20.935979,77.747274,9,,9403307339,,,9096663323,,zpvidochit12@rediffmail.com,IMRANUDDIN ALAOUDDIN,1,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,02.01.001,,0,Null,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,26,31,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,8,59,0,0,0,51,8,59,51,8,59,31 to 100
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715001,WARD NO 1,2707150085,CLUSTER5 Vilas Nagar,27071500113,"GOVT. VIDHARBHA INSTITUTE SCHIECNE & H, AMT",kathora naka vmv road ,444604,1975,2,11,Higher Secondary only with grades 11 & 12,3,1,Department of Education,1_Govt,1_Govt,11,12,19,English,02 English,10,4,0,20.956678,77.753797,9,721,9769568002,721,2531704,9769568002,www.gvishamt.org,directorgvishamravati@gvishamt.org,Gajanan Panjabrao Abhyankar,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,0,Null,,,2,State Board,477,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,266,561,267,196,463,0,0,0,0,0,0,0,0,0,0,0,0,562,462,1024,562,462,1024,562,462,1024,more than 1000
2020-21,2719,Aurangabad,4,271911,Urc2,5,Aurangbad Municipal Corporation,271910,271911097,BANEWADI,2719110004,BANSILAL NAGAR,27191109704,MNC HS BANEWADI,RAHUL NAGAR AURANGABAD 431005,431005,2009,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.861298,75.296653,9,,8275238736,,,9764385934,,bhagya.5046@gmail.com,TINGOTE B H,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56.01.280,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,69,30,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,68,123,0,0,0,55,68,123,55,68,123,101 to 250
2020-21,2719,Aurangabad,4,271911,Urc2,5,Aurangbad Municipal Corporation,271910,271911008,PADEGAON,2719110001,BEGUMPURA,27191100825,MNC MITMITA HS,NEAR HOTEL MEDOWS NASHIK AURANGBAD ROAD MITMITA AURANGABAD,431002,2007,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.900369,75.26266,9,,9421306241,,,8208829612,,amchsmitmita@gmail.com,MHASKE D. J.,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56.01.257,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,60,50,36,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,69,146,0,0,0,77,69,146,77,69,146,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910079,MUKUNDWADI,2719100016,MUKUNDWADI,27191007989,MNC HS MUKUNDWADI,"Mukundwadi, Near Avon International Hotel, Aurangabad",431006,2007,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.870093,75.376418,9,,7588642425,,,7588642425,,amccpsmukundwadi@gmail.com,Dr. SAMPAT NIVRUTTI  IDHATE,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56.01.256,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,90,43,33,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,76,166,0,0,0,90,76,166,90,76,166,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910053,BARI COLONY,2719100002,KIRADPURA,27191005326,MNC HS KIRADPURA NO 1,jaswantpura beside sahara hospital kiradpura Aurangabad,431001,1983,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,18,Urdu,04 Urdu,0,0,0,19.886333,75.350769,9,,9420864777,,,9429864777,,,Dr.shaheen fatema mohsin ahmed,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56-01-275,,0,Null,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,57,43,30,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,52,130,0,0,0,78,52,130,78,52,130,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910026,GANESHNAGAR,2719100013,CIDCO N-7,27191002617,MNC HS CIDCO N-7,GaneshNagerCidcoAuranagabad,431003,1976,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.891338,75.362583,9,,9422709192,,,9049368994,,manjushrirathod2015@gmail.com,Manjushri Ganpatrao Rathod,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,5601279,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,76,26,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,63,124,0,0,0,61,63,124,61,63,124,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910022,NAREGAON,2719100013,CIDCO N-7,27191002223,MNC HS NAREGAON URDU,"Near Dargah Masjid,Naregaon,Aurangabad",431007,2016,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,18,Urdu,04 Urdu,0,0,0,19.892267,75.388216,9,,9325213695,,,9325213695,,AMCNAREGAON.URDU@GMAIL.COM,SK. ABDUL RAHEEM,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,5601352,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,58,106,39,51,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,109,196,0,0,0,87,109,196,87,109,196,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910022,NAREGAON,2719100013,CIDCO N-7,27191002213,MNC HS NAREGAON,NEAR DARGA MAJJID NAREGAON ,431003,2009,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.892268,75.388043,9,,9657138906,,,9657138906,,amcschoolnaregaon01@gmail.com,SMT.TAJWE SANGEETA RAMJI,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56.01.294,,0,Null,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,54,132,58,26,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,80,216,0,0,0,136,80,216,136,80,216,101 to 250
2020-21,2719,Aurangabad,4,271910,Urc1,4,Aurangbad Municipal Corporation,271910,271910001,HARSUL,2719100027,HARSUL,27191000128,MNC HS  HARSUL GAON,Harsidhi mata mandir road Harsul Aurangabad,431003,2009,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,19.923196,75.350714,9,,8007886777,,,9623689479,,amccpsharsulgaon@gmail.com,MOKALE SANJAY S,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,5601295,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,82,38,33,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,76,153,0,0,0,77,76,153,77,76,153,101 to 250
2020-21,2719,Aurangabad,4,271911,Urc2,5,Aurangbad Municipal Corporation,271910,271911013,ROZABAGH,2719110002,JUBILI PARK,27191101302,"GOVT. COLLEGE OF ARTS & SCIENCE, LABOUR COLONYS",kile ark near subhedari guest house Aurangabad,431001,1923,2,11,Higher Secondary only with grades 11 & 12,3,1,Department of Education,1_Govt,1_Govt,11,12,10,Marathi,01 Marathi,19,0,0,19.895353,75.334667,9,240,9422291414,240,2331476,9422291414,www.gasca.ac.in,gasca1923@gmail.com,principal Dr Satpute R H,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,0,Null,,,2,State Board,56.01.018,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,97,338,126,65,191,0,0,0,0,0,0,0,0,0,0,0,0,367,162,529,367,162,529,367,162,529,251 to 1000
2020-21,2719,Aurangabad,4,271911,Urc2,5,Aurangbad Municipal Corporation,271910,271911096,HAMALWADA- RLY STATION,2719110004,BANSILAL NAGAR,27191109612,MNC HS Silk Mill Colony,Hammal Wada Silkmill colony,431001,2018,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,18,Urdu,04 Urdu,0,0,0,19.859131,75.306221,9,,9423742578,,,9423742578,https://education.maharashtra.gov.in/saral/27191109612,amcsilkmillcolony@gmail.com,Masarat Sultana,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,0,,0,Null,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,27,11,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,37,54,0,0,0,17,37,54,17,37,54,31 to 100
2020-21,2719,Aurangabad,4,271911,Urc2,5,Aurangbad Municipal Corporation,271910,271911094,BANSILALNAGAR,2719110004,BANSILAL NAGAR,27191109403,MNC HS BANSILALNAGAR,BANSILALNGAR AURANGABAD,431001,2009,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,4,19,0,19.865115,75.314874,9,,9730931112,,,9730931112,,ahmadpatel5685@gmail.com,Shaikh Ahemad Patel,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,56.01.300,,0,Null,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30,15,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,64,0,0,0,29,35,64,29,35,64,31 to 100
